"Product Category Name","Product ID","Product Type","Product Name","Product Price","Total Orders","Number of ordered units that are fully paid","Total Waitlisted","Total Order Value","Total Discounted","Total Collected","Product description",Instructor,"Number of Sessions","Session Start Date","Session End Date","Session Days"
"Membership Fees",3377907,Recurring,"Annual Membership Fee",175,62.00,39,0,9275.00,1575.00,7700.00,"Membership is renewed annually and is required to attend any classes, events and programs offered by American Seekers Academy.",,,,,
"Membership Fees",4569128,Recurring,"Summer Camp Membership Fee",50,0,0,0,,,,"Membership is renewed annually and is required to attend any classes, events and programs offered by American Seekers Academy.",,,,,
"Membership Fees",3868819,Recurring,"ASA Annual Membership Fee",175,1.00,1,0,175.00,0.00,175.00,"Membership is renewed annually and is required to attend any classes, events and programs offered by American Seekers Academy.",,,,,
"Membership Fees",3756163,Discount,"Membership fee waived",100,5.00,5,0,500.00,0.00,0.00,,,,,,
"SPRING 2025 10 WEEK PROGRAM",4202490,"Offering holding Sessions","Extracurricular 3 day Extension",175,0,0,0,,,,,,3,,,
"SPRING 2025 10 WEEK PROGRAM",4202477,"Offering holding Sessions","5 week Individual Extracurricular",100,0,0,0,,,,,,2,,,
"SPRING 2025 10 WEEK PROGRAM",4202455,"Offering holding Sessions","SPRING 10 week Individual Extracurricular",200,0,0,0,,,,,,2,,,
"SPRING 2025 10 WEEK PROGRAM",4202519,"Offering holding Sessions","Extracurricular add-on",50,2.00,1,0,50.00,50.00,50.00,,,1,,,
"SPRING 2025 10 WEEK PROGRAM",4202390,"Offering holding Sessions","Spring 2025 | Yankee Doodles Day Selection",350,8.00,4,0,3600.00,0.00,3600.00,"Our Yankee Doodles program runs half day, three days a week and is packed with energized team activities for busy minds as well as focus time for independent creative projects. Children will be introduced to foundational skills in reading, writing and art. This program includes course material from a combination of curriculums including Tuttle Twins, Dimensions Math and Hillsdale College's 1776 History for Pre K and Kindergarten. Your little ones will find this program entertaining and parents will appreciate the wide range of knowledge and skills their children quickly acquire. Extend half days to full days by adding two electives each day.",,4,,,
"SPRING 2025 10 WEEK PROGRAM",4202357,"Offering holding Sessions","Spring 2025 | Yankee Doodles | closed",900,0,0,0,,,,"Our Yankee Doodles program runs half day, three days a week and is packed with energized team activities for busy minds as well as focus time for independent creative projects. Children will be introduced to foundational skills in reading, writing and art. This program includes course material from a combination of curriculums including Tuttle Twins, Dimensions Math and Hillsdale College's 1776 History for Pre K and Kindergarten. Your little ones will find this program entertaining and parents will appreciate the wide range of knowledge and skills their children quickly acquire. Extend half days to full days by adding two electives each day.",,1,,,
"SPRING 2025 10 WEEK PROGRAM",4202263,"Offering holding Sessions","Spring 2025 | Yankee Doodles",900,16.00,7,0,5800.00,2600.00,5410.00,"Our Yankee Doodles program runs half day, three days a week and is packed with energized team activities for busy minds as well as focus time for independent creative projects. Children will be introduced to foundational skills in reading, writing and art. This program includes course material from a combination of curriculums including Tuttle Twins, Dimensions Math and Hillsdale College's 1776 History for Pre K and Kindergarten. Your little ones will find this program entertaining and parents will appreciate the wide range of knowledge and skills their children quickly acquire. Extend half days to full days by adding two electives each day.",,3,,,
"SPRING 2025 10 WEEK PROGRAM",4202231,"Offering holding Sessions","Spring 2025 | Macaroni",900,18.00,4,0,3780.00,3270.00,2007.00,"6 months to diapered 4 yrs.",,3,,,
"SPRING 2025 10 WEEK PROGRAM",4202041,"Offering holding Sessions","Spring 2025 | Patriots | Grades 9-12",900,2.00,1,0,1300.00,0.00,1300.00,"9am - 12pm 3 days a week morning sessions include core classes.",,6,,,
"SPRING 2025 10 WEEK PROGRAM",4201914,"Offering holding Sessions","SPRING 2025 | Pioneers | Grades 6-8",900,2.00,0,0,1300.00,0.00,0.00,"9am - 12pm 3 days a week morning sessions include core classes.",,6,,,
"SPRING 2025 10 WEEK PROGRAM",4201787,"Offering holding Sessions","SPRING 2025 | Seekers | Grades 3 - 5",900,14.00,1,0,8193.00,507.00,4301.00,"9am - 12pm 3 days a week morning sessions include core classes.",,6,,,
"SPRING 2025 10 WEEK PROGRAM",4201660,"Offering holding Sessions","SPRING 2025 | Tycoons | Grades 1-2",900,22.00,5,0,9989.00,711.00,7817.00,"9am - 12pm 3 days a week morning sessions include core classes.",,6,,,
"SPRING 2025 10 WEEK PROGRAM",4201626,"Offering holding Sessions","SPRING 2025 | Single Extended Day",900,0,0,0,,,,"Single Extended day - Full day 9-3pm once per week includes core classes and afternoon electives.",,3,,,
"SPRING 2025 10 WEEK PROGRAM",4201561,"Offering holding Sessions","SPRING 2025 | Extended day 9-2pm",1300,5.00,3,0,2034.00,130.00,2034.00,"Running 9AM - 2PM 3 days per week for 10 weeks. Students will work through Literacy, Math, Science and History in the morning session from 9am - 12pm with snack breaks, games and activities.",,4,,,
"SPRING 2025 10 WEEK PROGRAM",4325325,"Offering holding Sessions","Spring 2025 | Extended day 9-2pm",1300,0,0,0,,,,"Running 9AM - 2PM 3 days per week for 10 weeks. Students will work through Literacy, Math, Science and History in the morning session from 9am - 12pm with snack breaks, games and activities.",,4,,,
"Summer Program",4569100,"Offering holding Sessions","ASA 3 days x 3 weeks July camp",450,2.00,1,0,0.00,450.00,0.00,,,1,,,
"Summer Program",4569111,"Offering holding Sessions","ASA 3 days x 2 weeks August camp",450,2.00,1,0,0.00,350.00,0.00,,,1,,,
